,SPCS ID,Datum and Grid Name,EPSG ID
,101,NAD83 / Alabama East,26929
,102,NAD83 / Alabama West,26930
,201,NAD83 / Arizona East,26948
,202,NAD83 / Arizona Central,26949
,203,NAD83 / Arizona West,26950
,301,NAD83 / Arkansas North,26951
,302,NAD83 / Arkansas South,26952
,401,NAD83 / California zone 1,26941
,402,NAD83 / California zone 2,26942
,403,NAD83 / California zone 3,26943
,404,NAD83 / California zone 4,26944
,405,NAD83 / California zone 5,26945
,406,NAD83 / California zone 6,26946
,501,NAD83 / Colorado North,26953
,502,NAD83 / Colorado Central,26954
,503,NAD83 / Colorado South,26955
,600,NAD83 / Connecticut,26956
,700,NAD83 / Delaware,26957
,901,NAD83 / Florida East,26958
,902,NAD83 / Florida West,26959
,903,NAD83 / Florida North,26960
,1001,NAD83 / Georgia East,26966
,1002,NAD83 / Georgia West,26967
,1101,NAD83 / Idaho East,26968
,1102,NAD83 / Idaho Central,26969
,1103,NAD83 / Idaho West,26970
,1201,NAD83 / Illinois East,26971
,1202,NAD83 / Illinois West,26972
,1301,NAD83 / Indiana East,26973
,1302,NAD83 / Indiana West,26974
,1401,NAD83 / Iowa North,26975
,1402,NAD83 / Iowa South,26976
,1501,NAD83 / Kansas North,26977
,1502,NAD83 / Kansas South,26978
,1600,NAD83 / Kentucky Single Zone,3088
,1601,NAD83 / Kentucky North,2205
,1602,NAD83 / Kentucky South,26980
,1701,NAD83 / Louisiana North,26981
,1702,NAD83 / Louisiana South,26982
,1703,NAD83 / Louisiana Offshore,32199
,1801,NAD83 / Maine East,26983
,1802,NAD83 / Maine West,26984
,1900,NAD83 / Maryland,26985
,2001,NAD83 / Massachusetts Mainland,26986
,2002,NAD83 / Massachusetts Island,26987
,2111,NAD83 / Michigan North,26988
,2112,NAD83 / Michigan Central,26989
,2113,NAD83 / Michigan South,26990
,2201,NAD83 / Minnesota North,26991
,2202,NAD83 / Minnesota Central,26992
,2203,NAD83 / Minnesota South,26993
,2301,NAD83 / Mississippi East,26994
,2302,NAD83 / Mississippi West,26995
,2401,NAD83 / Missouri East,26996
,2402,NAD83 / Missouri Central,26997
,2403,NAD83 / Missouri West,26998
,2500,NAD83 / Montana,32100
,2600,NAD83 / Nebraska,32104
,2701,NAD83 / Nevada East,32107
,2702,NAD83 / Nevada Central,32108
,2703,NAD83 / Nevada West,32109
,2800,NAD83 / New Hampshire,32110
,2900,NAD83 / New Jersey,32111
,3001,NAD83 / New Mexico East,32112
,3002,NAD83 / New Mexico Central,32113
,3003,NAD83 / New Mexico West,32114
,3101,NAD83 / New York East,32115
,3102,NAD83 / New York Central,32116
,3103,NAD83 / New York West,32117
,3104,NAD83 / New York Long Island,32118
,3200,NAD83 / North Carolina,32119
,3301,NAD83 / North Dakota North,32120
,3302,NAD83 / North Dakota South,32121
,3401,NAD83 / Ohio North,32122
,3402,NAD83 / Ohio South,32123
,3501,NAD83 / Oklahoma North,32124
,3502,NAD83 / Oklahoma South,32125
,3601,NAD83 / Oregon North,32126
,3602,NAD83 / Oregon South,32127
,3701,NAD83 / Pennsylvania North,32128
,3702,NAD83 / Pennsylvania South,32129
,3800,NAD83 / Rhode Island,32130
,3900,NAD83 / South Carolina,32133
,4001,NAD83 / South Dakota North,32134
,4002,NAD83 / South Dakota South,32135
,4100,NAD83 / Tennessee,32136
,4201,NAD83 / Texas North,32137
,4202,NAD83 / Texas North Central,32138
,4203,NAD83 / Texas Central,32139
,4204,NAD83 / Texas South Central,32140
,4205,NAD83 / Texas South,32141
,4301,NAD83 / Utah North,32142
,4302,NAD83 / Utah Central,32143
,4303,NAD83 / Utah South,32144
,4400,NAD83 / Vermont,32145
,4501,NAD83 / Virginia North,32146
,4502,NAD83 / Virginia South,32147
,4601,NAD83 / Washington North,32148
,4602,NAD83 / Washington South,32149
,4701,NAD83 / West Virginia North,32150
,4702,NAD83 / West Virginia South,32151
,4801,NAD83 / Wisconsin North,32152
,4802,NAD83 / Wisconsin Central,32153
,4803,NAD83 / Wisconsin South,32154
,4901,NAD83 / Wyoming East,32155
,4902,NAD83 / Wyoming East Central,32156
,4903,NAD83 / Wyoming West Central,32157
,4904,NAD83 / Wyoming West,32158
,5001,NAD83 / Alaska zone 1,26931
,5002,NAD83 / Alaska zone 2,26932
,5003,NAD83 / Alaska zone 3,26933
,5004,NAD83 / Alaska zone 4,26934
,5005,NAD83 / Alaska zone 5,26935
,5006,NAD83 / Alaska zone 6,26936
,5007,NAD83 / Alaska zone 7,26937
,5008,NAD83 / Alaska zone 8,26938
,5009,NAD83 / Alaska zone 9,26939
,5010,NAD83 / Alaska zone 10,26940
,5101,NAD83 / Hawaii zone 1,26961
,5102,NAD83 / Hawaii zone 2,26962
,5103,NAD83 / Hawaii zone 3,26963
,5104,NAD83 / Hawaii zone 4,26964
,5105,NAD83 / Hawaii zone 5,26965
,5200,NAD83 / Puerto Rico & Virgin Is.,32161
